parameter,coordinate,rhat_rank,rhat_split,rhat_folded,rhat_identity,ess_bulk,ess_tail,effective_samples_per_second,mcse_mean,mcse_sd,posterior_mean,posterior_sd,hdi_lower,hdi_upper,is_free_parameter,is_derived_parameter,diagnostic_priority
level,4,1.0022294598710186,0.9997645488392842,1.0022294598710186,0.9999680453263389,13025.912933498043,5787.045496519555,30.462453192473408,2.134130321760439e-05,,-0.408,0.002,-0.413,-0.403,True,False,other
mu_tau,,1.0013389931145509,0.9997116364085943,1.0013389931145509,0.9998766961708274,14066.648577284437,5737.4302086623275,32.8963218200651,0.0009723490803945766,,-0.01,0.115,-0.232,0.222,True,False,smoke_key
tau,10,1.0012663022306314,0.9997007770928404,1.0012663022306314,0.999755890880245,15272.39826984763,6316.661694199873,35.71609297614957,0.00028755010465588104,,-0.356,0.035,-0.424,-0.286,True,False,smoke_key
tau,3,1.0012002815828511,0.9998683268554915,1.0012002815828511,0.9999091520000376,11611.708069429056,6300.013279882329,27.155187920840678,0.0003859891151902652,,0.469,0.042,0.392,0.555,True,False,smoke_key
beta_post,14,1.0011649444615847,0.9996390903642473,1.0011649444615847,0.9998547645531609,9869.490284625106,5880.835756757077,23.08083029296171,0.00010349999901863804,,1.34,0.01,1.321,1.361,False,True,other
beta_pre,12,1.0011532108785939,0.9997875986664284,1.0011532108785939,0.9997902990115347,11408.482656007127,4953.241878727904,26.679924138909033,0.00018019166898809225,,0.298,0.019,0.26,0.336,True,False,other
level,2,1.0011316257077265,1.0000196861030635,1.0011316257077265,0.9998132394812295,13605.420121400142,5962.28479907101,31.817691069180828,3.293138232797537e-05,,-0.215,0.004,-0.223,-0.208,True,False,other
tau,4,1.0011172490516702,0.9997960610079087,1.0011172490516702,0.9998941093454731,12518.85720060459,6434.997306676687,29.27665058438749,0.0003324438848982887,,0.422,0.037,0.349,0.494,True,False,smoke_key
tau,12,1.0011010702871033,0.9998873907843887,1.0011010702871033,0.999856385511014,11678.043197724832,5493.721820558536,27.310319522828447,0.000584464142223392,,-0.17,0.063,-0.294,-0.048,True,False,smoke_key
mu_delta_beta,,1.0010810864156143,0.9995909886291308,1.0010810864156143,0.9997664428494039,11278.889852263308,5302.551448253425,26.376857878733492,0.0008861546045797424,,1.286,0.093,1.1,1.464,True,False,smoke_key
sigma_level,,1.0010298328857155,0.9998590823473268,1.0010298328857155,0.9998180326075202,12248.797252912891,5467.814595536865,28.645087287617397,0.00040362432295974483,,0.174,0.039,0.113,0.253,True,False,other
level,14,1.001026178690155,0.9996889153231959,1.001026178690155,0.9998126911294579,14440.649918802997,5727.018048765969,33.7709628850021,2.4047201255632306e-05,,-0.01,0.003,-0.016,-0.004,True,False,other
delta_beta,12,1.000875967829716,0.9996730019470398,1.000875967829716,0.9999094166825265,9807.366882821767,6320.559873643789,22.935548251752547,0.00019354026292268766,,0.743,0.019,0.706,0.781,True,False,other
beta_post,10,1.000757660483566,0.9997437785177878,1.000757660483566,0.9999460610038892,10668.4192465288,6364.175425055801,24.949208826608714,0.00013242341602954727,,1.324,0.014,1.298,1.352,False,True,other
beta_post,6,1.0007450692282225,0.9997833927410389,1.0007450692282225,0.9999482978264648,9196.548536692293,6165.486430571964,21.507085972519707,0.00018827046655370042,,1.863,0.018,1.827,1.897,False,True,other
beta_post,2,1.0007443116851749,1.0000918009338173,1.0007443116851749,1.0000347569215584,9814.503559202281,5770.46794623674,22.95223811228679,0.00022958704626891704,,1.619,0.023,1.576,1.663,False,True,other
beta_pre,11,1.0007166818286262,0.9999810094414134,1.0007166818286262,1.0001635835678637,8418.225712524176,6031.719054562665,19.686897036749823,0.00011130455035497976,,0.436,0.01,0.415,0.455,True,False,other
mu_level,,1.000701105035791,0.999535173339937,1.000701105035791,0.999786045058736,11988.104403259385,5727.461801809883,28.03542992458067,0.0004431360448469409,,-0.224,0.048,-0.321,-0.132,True,False,other
level,12,1.0007004276714957,0.9996282516364768,1.0007004276714957,0.9998353910161054,17022.924756540666,5671.334985180956,39.80988136820443,2.031240336901876e-05,,-0.255,0.003,-0.26,-0.25,True,False,other
tau,6,1.0006604742388976,0.9996276083061849,1.0006604742388976,0.999798343070393,15798.146086672241,6687.787408431006,36.945608968067376,0.00020828575441756756,,-0.34,0.026,-0.391,-0.288,True,False,smoke_key
level,10,1.0006536279008187,1.000109061456416,1.0006536279008187,0.9999428928321669,13899.481487973959,6029.1886401347965,32.50538418218585,2.1978559008936924e-05,,-0.178,0.003,-0.183,-0.172,True,False,other
level,1,1.0006526413530827,0.9999091949206949,1.0006526413530827,0.9998491297652472,14412.340170314723,6312.872147381824,33.70475759155222,2.3504230750051235e-05,,-0.442,0.003,-0.447,-0.436,True,False,other
delta_beta,4,1.000627896032927,0.9997612311308778,1.000627896032927,1.0000320216175096,7857.571138616392,6339.861447926118,18.375747960135694,0.0003794633534483733,,1.28,0.034,1.218,1.348,True,False,other
sigma_delta_beta,,1.0006154217882568,0.9999606649184651,1.0006154217882568,0.9998619654007646,11873.62411159534,6049.025377559445,27.76770584688409,0.0007390280100831569,,0.329,0.07,0.209,0.47,True,False,smoke_key
beta_pre,3,1.000613320263187,0.9998780113756779,1.000613320263187,0.9997925776944173,10736.370476511795,6478.726759478481,25.108119850603416,0.00010346192393381608,,0.321,0.011,0.3,0.342,True,False,other
delta_beta,5,1.0006103786638298,0.9997890836423878,1.0006103786638298,1.000008861729722,7746.554219432841,5878.783311792938,18.11612333946864,0.00033705975463613327,,1.381,0.03,1.324,1.439,True,False,other
tau,1,1.000544937571402,0.9999961575035414,1.000544937571402,1.0001910675365464,14148.477276927299,6076.132244396907,33.08768675129086,0.0002980582864717112,,-0.003,0.035,-0.074,0.064,True,False,smoke_key
sigma_beta_pre,,1.0005363399169875,0.999673694731105,1.0005363399169875,0.9997734897698116,11849.537378792458,6493.871157650687,27.711376515165583,0.0002574421845369501,,0.113,0.026,0.07,0.165,True,False,other
beta_post,1,1.0005224793626415,1.0000120715423617,1.0005224793626415,1.0003030917824622,9622.081869994927,5307.099616252158,22.5022399639327,0.00018773239317547484,,1.285,0.018,1.249,1.321,False,True,other
beta_pre,10,1.0004977499335361,0.9997686882968342,1.0004977499335361,0.9998982079404595,11335.47736066971,6339.562650558503,26.509193657032437,0.0002340517713800934,,0.154,0.025,0.105,0.2,True,False,other
beta_post,9,1.0004933851675504,0.9999418647661041,1.0004933851675504,1.0000456485265634,9878.767731795691,5970.646275002561,23.102526568809893,0.0002881466693358465,,1.677,0.029,1.624,1.735,False,True,other
beta_pre,1,1.0004897560736932,0.9998140359858412,1.0004897560736932,0.9999805153415204,10890.861845709822,6411.312158055385,25.469413997651902,0.00015778024678777167,,0.177,0.016,0.146,0.21,True,False,other
level,13,1.000468342148785,0.9996575008607367,1.000468342148785,0.9998918861088297,15659.602139635854,6125.140628764576,36.621609527625615,2.107302398575187e-05,,-0.125,0.003,-0.13,-0.12,True,False,other
delta_beta,9,1.0004655995372542,0.9999042256442214,1.0004655995372542,1.000086100690541,7865.513984924566,5819.2209425168485,18.394323132955677,0.00036957867107777296,,1.371,0.033,1.31,1.438,True,False,other
tau,2,1.000464100589356,0.9998147742844137,1.000464100589356,0.999835005790465,14351.871932513193,5725.979698048244,33.56334632363845,0.00025045893927928814,,0.069,0.03,0.009,0.128,True,False,smoke_key
beta_post,11,1.0004481801377558,0.9996090473842505,1.0004481801377558,0.9997730664274473,4474.291390591946,4395.996552292603,10.463596121918174,0.0016893671143671882,,2.139,0.113,1.921,2.358,False,True,other
beta_pre,4,1.0004443258654045,0.9997198498713388,1.0004443258654045,0.9998092092756707,10782.04999519222,6298.420096684089,25.21494615957395,0.00011730893985746892,,0.3,0.012,0.276,0.325,True,False,other
level,11,1.0004432864465977,0.9996596720482966,1.0004432864465977,0.9999058367896041,9820.133521229447,6279.006865123681,22.965404364479898,4.016699029499292e-05,,-0.259,0.004,-0.267,-0.251,True,False,other
beta_post,4,1.0004371259286007,0.99979348022455,1.0004371259286007,0.9999846685672807,9316.928073570953,6798.1969996781445,21.788606049171488,0.00032081274020950173,,1.58,0.031,1.522,1.643,False,True,other
beta_post,12,1.000435637279711,0.9998526732062822,1.000435637279711,0.9999874069896317,10874.827020067927,5944.5799045200165,25.43191488890924,0.00015547733296807063,,1.042,0.016,1.011,1.073,False,True,other
delta_beta,11,1.000422137095726,0.9995905263951451,1.000422137095726,0.9997639972964099,4446.62164912442,4544.897353091136,10.398887551501224,0.0016531924297928274,,1.703,0.11,1.491,1.915,True,False,other
level,6,1.00037543300786,0.9995921046695191,1.00037543300786,0.9998197324206335,16449.817567247686,5654.42214128687,38.469610554386,2.709791478906153e-05,,0.059,0.003,0.052,0.066,True,False,other
mu_beta_pre,,1.00032465387,1.000335579782211,0.9997939270388843,0.9998236457356644,10834.426514829878,5744.356759660825,25.337434102337927,0.0003308216668442124,,0.219,0.034,0.146,0.283,True,False,smoke_key
tau,7,1.0002728039312605,0.9997024226873712,1.0002728039312605,0.9997959434345113,15761.79459629609,6290.329779239515,36.86059722419087,0.00019611914573197344,,-0.139,0.025,-0.187,-0.091,True,False,smoke_key
beta_pre,13,1.000264143571067,1.0001453391990907,1.000264143571067,1.0001622915119437,10825.722494526086,6379.509590878671,25.317078844902667,0.00022886167484449424,,0.23,0.024,0.181,0.274,True,False,other
tau,11,1.00025216715682,0.9996249087613341,1.00025216715682,0.9997891389911966,4577.674227791971,4964.56563880381,10.705367647276063,0.00110837489320926,,1.158,0.075,1.006,1.299,True,False,smoke_key
beta_post,5,1.0002393069602287,0.9997658835600568,1.0002393069602287,0.9999699325170468,10151.847763522112,5498.826630577042,23.74115264643955,0.00019676737107731716,,1.538,0.02,1.502,1.578,False,True,other
beta_post,3,1.0002353685661471,0.9998872093377964,1.0002353685661471,0.9999776823653277,9974.812902546624,5864.137693926277,23.32713819743819,0.00031929272594097426,,1.466,0.031,1.406,1.527,False,True,other
tau,5,1.000215860435102,0.9996109804986201,1.000215860435102,0.9998077187265694,15472.76000987181,5813.560369085584,36.18465975977615,0.00023325682894509225,,-0.061,0.029,-0.118,-0.005,True,False,smoke_key
tau,8,1.0001884308046904,0.9995621448631581,1.0001884308046904,0.9997864334671541,12338.85918859337,6385.50415661973,28.855706498270553,0.00035731742925147015,,-0.325,0.04,-0.403,-0.248,True,False,smoke_key
delta_beta,2,1.0001702965119945,1.0000796095876867,1.0001702965119945,1.0001242412170364,7960.336879478271,5623.758710599033,18.616076341476578,0.0003355054864225938,,1.396,0.03,1.338,1.454,True,False,other
level,8,1.000167824171788,0.9996320786779591,1.000167824171788,0.9998155370537315,14109.649637546361,6402.042603609819,32.99688427523758,2.639536647763603e-05,,-0.352,0.003,-0.357,-0.345,True,False,other
sigma_tau,,1.0001604220794984,0.9996985961011032,1.0001604220794984,0.9998489377263263,13329.050299147988,6224.887369754706,31.171371473990074,0.0007823255567787472,,0.454,0.084,0.301,0.615,True,False,smoke_key
beta_pre,5,1.0001501818420395,0.9996541204117616,1.0001501818420395,0.9998606626444719,9802.181855256946,6081.670593110684,22.92342252511047,0.00019342497559450344,,0.157,0.019,0.12,0.194,True,False,other
level,5,1.0001436273889872,0.9997481098722079,1.0001436273889872,0.9999202850142436,15383.479983410147,5441.3544372926335,35.97586912521594,2.414179298211407e-05,,-0.296,0.003,-0.302,-0.291,True,False,other
level,3,1.000138532069632,0.9998956778377788,1.000138532069632,0.9998957820915334,13613.538429063332,5766.813177374949,31.836676576642347,2.1812797449057564e-05,,-0.434,0.003,-0.439,-0.429,True,False,other
tau,13,1.0001122597525796,1.0001307880335801,1.000031724446077,1.000063891247285,13457.178700415518,5809.603748182456,31.471013076553007,0.0003572765035086869,,-0.377,0.041,-0.455,-0.292,True,False,smoke_key
tau,14,1.0001059684740368,0.9999015271988934,1.0001059684740368,0.9999547656349874,11694.945379759874,5933.524022721491,27.349847034774967,0.00037553257312346685,,-0.639,0.041,-0.722,-0.562,True,False,smoke_key
delta_beta,14,1.0000894360872974,0.9997951409827546,1.0000894360872974,0.9998758300545856,9052.849264545455,5946.822384881748,21.17103026771699,0.0004017521780052468,,1.239,0.038,1.164,1.313,True,False,other
mu_log_sigma,,1.0000517789346524,0.9995706204914009,1.0000517789346524,0.9997928700883397,16473.49220992321,5862.985688805747,38.52497617044943,6.630813850199957e-05,,-3.067,0.009,-3.084,-3.05,True,False,other
sigma,,1.0000500268090629,0.9995696681945311,1.0000500268090629,0.9997913814256317,16473.49220992321,5862.985688805747,38.52497617044943,3.087232403369233e-06,,0.047,0.0,0.046,0.047,False,True,smoke_key
beta_pre,8,1.0000440565337971,0.999558855695177,1.0000440565337971,0.9997679046349102,9705.61374068469,6186.359995642931,22.69758793792559,0.00022939759077396642,,0.126,0.022,0.083,0.17,True,False,other
beta_pre,14,1.0000099735930614,0.9998693854068149,1.0000099735930614,0.9999031204267698,10307.438028338109,5949.080139180676,24.105016675268814,0.0003601388077784508,,0.102,0.036,0.033,0.175,True,False,other
beta_pre,7,1.0000008401755491,0.9997066825772696,1.0000008401755491,0.999878315667382,9111.524509434157,6746.172277292155,21.308248435081094,0.00025075960031185695,,0.165,0.024,0.119,0.211,True,False,other
delta_beta,8,0.9999838545038748,0.9996831877695983,0.9999838545038748,0.9998241903261703,8392.62543404494,6141.577885900045,19.6270281209303,0.0002767409790350337,,1.018,0.025,0.971,1.069,True,False,other
delta_beta,10,0.9999603385465272,0.9998238828574926,0.9999603385465272,1.000042417095133,8747.079837060555,6425.356640770692,20.455956635642067,0.00030805409316693753,,1.17,0.029,1.118,1.229,True,False,other
level,7,0.9999600996959238,0.9996094025541339,0.9999600996959238,0.999757843303798,15414.24575507231,5976.660420181222,36.04781808449225,2.3997511233053033e-05,,-0.039,0.003,-0.045,-0.033,True,False,other
delta_beta,13,0.9999531689243039,0.9999460791167222,0.9999029555788849,1.0001221870115466,8236.094567893764,6223.6886897183595,19.260964397976565,0.0002843342093283975,,1.002,0.026,0.95,1.051,True,False,other
delta_beta,6,0.9999234767513647,0.9997769108242699,0.9999234767513647,1.0000375858451291,7724.858232100864,6064.700308127778,18.06538501487373,0.0004487029249446982,,1.783,0.04,1.71,1.862,True,False,other
delta_beta,3,0.9999205396609959,0.999872268374917,0.9999205396609959,1.0000043937762602,8682.80439609264,5489.38547588473,20.305641826852316,0.000355866590001546,,1.145,0.033,1.082,1.21,True,False,other
tau,9,0.9999105337344382,0.9999109212480796,0.9996925283212358,0.9999230514551992,14155.849793958223,6467.667297704402,33.104928149733475,0.00030988133740055506,,0.159,0.037,0.085,0.23,True,False,smoke_key
beta_pre,2,0.999903686153119,0.99978233793865,0.999903686153119,0.9999617435019396,10334.187195184018,5834.895651159866,24.167572386115438,0.00016485058083625574,,0.223,0.017,0.189,0.255,True,False,other
beta_post,13,0.9998941587163458,0.9996573595304294,0.9998941587163458,0.9997964755946581,10854.939746372149,5972.437254745116,25.385406429411894,0.00012296708880384918,,1.232,0.013,1.206,1.257,False,True,other
beta_post,7,0.9998810180774053,0.9998804518855404,0.9996872506083108,1.0000539989388166,9088.844015222798,6243.784004133337,21.255207738676702,0.00023986041753887996,,1.952,0.023,1.907,1.997,False,True,other
beta_pre,6,0.9998801863446602,0.9997041039942962,0.9998801863446602,0.9999564332569524,9702.106842523921,6135.981547859566,22.68938669156239,0.00030894203460291644,,0.08,0.031,0.022,0.139,True,False,other
beta_post,8,0.9998773585324068,0.999828486844481,0.9998773585324068,0.9999156388718169,11440.115866443035,5794.894112835243,26.7539016940448,0.00011707550258762714,,1.144,0.012,1.12,1.168,False,True,other
beta_pre,9,0.9998705775605032,0.999711704728097,0.9998705775605032,0.999878311701821,10668.610434316655,6383.267584930239,24.94965593915033,0.00015411586905037918,,0.306,0.016,0.274,0.336,True,False,other
delta_beta,7,0.9998666390882999,0.9998476856237463,0.9998666390882999,1.0000437530678257,7451.284276666285,5965.461058202737,17.425603845242676,0.0004370364169017597,,1.786,0.038,1.715,1.862,True,False,other
log_transition_width,,0.9998507507430489,0.9998230437538885,0.9998507507430489,1.0000234488566355,7179.300624964765,5475.3298057056145,16.789541766417575,0.0003953665663553338,,-0.587,0.034,-0.653,-0.523,True,False,other
transition_width,,0.999839737308044,0.999818502485971,0.999839737308044,1.0000212720396293,7179.300624964765,5475.3298057056145,16.789541766417575,0.00022022679783802735,,0.572,0.019,0.536,0.608,False,True,smoke_key
delta_beta,1,0.9998246142902709,0.9998314562737189,0.9996982773020084,1.000100602543357,7831.400678126525,5430.726434368537,18.314545614337124,0.00027816449535937837,,1.108,0.025,1.059,1.155,True,False,other
level,9,0.9997447122281496,0.999748118648263,0.999708316883719,0.9998728880711546,15161.055686346002,6481.927823170968,35.45570675557804,2.110917959509608e-05,,-0.197,0.003,-0.202,-0.192,True,False,other
nu,,,,,,8000.0,8000.0,18.708832677138354,0.0,,4.0,0.0,4.0,4.0,False,True,other
